policy_id,premium,claim_amount,fraud_flag,region,insurance_type,anomaly_score,predicted_fraud
sdv-id-SEgbSE,18327.56,17115.62,0,KPK,auto,0.17067723505294907,0
sdv-id-UIvAxk,17097.6,5603.13,1,GB,auto,0.18829184708340196,0
sdv-id-AXmXVf,9369.43,25395.88,0,Sindh,auto,0.05615189032840584,0
sdv-id-bwhwAP,19866.06,9461.02,0,AJK,auto,0.19006408528584667,0
sdv-id-sNzsZV,16590.72,7885.7,0,AJK,auto,0.19294317917163184,0
sdv-id-sXFaXC,36938.8,8557.53,1,GB,auto,0.1211719101365542,0
sdv-id-EfziAR,8559.15,2627.4,0,GB,auto,0.12032133966995345,0
sdv-id-GOIDZZ,53060.11,14161.97,0,Sindh,auto,0.008870192723665071,0
sdv-id-ANRzdu,37121.82,15510.7,0,Balochistan,auto,0.10025079788730146,0
sdv-id-YnVkTr,25790.04,26050.02,0,KPK,auto,0.10009880628175111,0
sdv-id-elIGJs,15585.47,602.99,0,Sindh,auto,0.08804562465864829,0
sdv-id-ZlQuHP,4738.28,4050.61,0,Punjab,auto,0.0627040944407179,0
sdv-id-vYuAYE,11352.7,23761.76,0,Sindh,auto,0.10165683326312358,0
sdv-id-xerQaL,9604.93,9319.73,0,Balochistan,auto,0.14701927500724404,0
sdv-id-UNDGdF,16148.05,14441.64,0,AJK,auto,0.1628578122000955,0
sdv-id-SOuQhb,26444.38,26128.9,0,GB,auto,0.09554813296782838,0
sdv-id-JeHyOo,20604.83,5511.47,0,Punjab,auto,0.1991018626755982,0
sdv-id-KWBXzN,21572.84,1688.78,0,Sindh,auto,0.15940120564408522,0
sdv-id-MkSgSu,45479.46,10068.46,1,AJK,auto,0.08179622354847016,0
sdv-id-eFZWQr,25754.38,2761.29,0,Punjab,auto,0.16285770465346955,0
sdv-id-qrBkaP,14039.32,5226.7,1,GB,auto,0.18553774439786475,0
sdv-id-XtkHEl,23227.63,3157.91,0,Punjab,auto,0.1773030949674611,0
sdv-id-ffDVJn,31623.22,2823.53,0,AJK,auto,0.13913088311126331,0
sdv-id-KvDsZC,19265.88,26413.98,1,GB,auto,0.12126245142752101,0
sdv-id-nmMACi,16246.59,35588.61,1,GB,auto,0.038485543276558065,0
sdv-id-gNIihw,42958.69,27425.84,0,Punjab,auto,-0.014750213728101702,1
sdv-id-EJbMYL,19824.36,17795.5,0,KPK,auto,0.1681222902902626,0
sdv-id-pfTKLf,18409.45,6464.86,0,Punjab,auto,0.19020826809719643,0
sdv-id-tfMmrb,34835.84,11421.7,0,Sindh,auto,0.12019946904391404,0
sdv-id-uoAiQu,3414.76,5100.61,0,Punjab,auto,0.05705100421802478,0
sdv-id-UjXZjB,18973.64,6279.87,0,GB,auto,0.1956876124673561,0
sdv-id-tRIPPt,54736.25,25101.26,0,Balochistan,auto,-0.038880693305340386,1
sdv-id-NyWliy,20667.67,1672.35,0,GB,auto,0.16234761640921103,0
sdv-id-kdGbOt,18014.24,2900.55,0,GB,auto,0.18650827100546807,0
sdv-id-mtPgVk,14680.63,19453.67,1,Sindh,auto,0.15538442343139436,0
sdv-id-bNTOug,7874.38,16513.8,0,Balochistan,auto,0.10066373095430264,0
sdv-id-vVaalp,20396.92,6577.61,1,Sindh,auto,0.19689257940611055,0
sdv-id-jCLosh,27123.7,6918.46,1,GB,auto,0.16890789894269848,0
sdv-id-oqmAxq,37896.42,3777.97,0,AJK,auto,0.12321751716975149,0
sdv-id-DPVSJp,18765.14,3616.13,0,GB,auto,0.1930366645290849,0
sdv-id-QaYJgP,5287.94,21033.08,0,AJK,auto,0.022533171398572027,0
sdv-id-nTrbHj,11507.31,14036.52,1,GB,auto,0.14964770874912436,0
sdv-id-qytcUr,6650.3,10639.99,1,Punjab,auto,0.09911623058602481,0
sdv-id-PqioYD,20826.59,6261.99,0,Sindh,auto,0.19267596853752722,0
sdv-id-DMJTOr,17057.55,7582.03,0,Punjab,auto,0.19694796647677731,0
sdv-id-KyumTQ,45565.35,6803.29,0,GB,auto,0.08933975803652311,0
