policy_id,premium,claim_amount,fraud_flag,region,insurance_type
AUTO-000000,28236.11,4708.87,0,Punjab,auto
AUTO-000001,20555.17,6346.13,1,Balochistan,auto
AUTO-000002,30450.09,5024.57,0,GB,auto
AUTO-000003,47170.07,8851.43,0,Sindh,auto
AUTO-000004,19592.92,21115.08,0,Sindh,auto
AUTO-000005,19593.08,4372.83,0,KPK,auto
AUTO-000006,48513.94,18045.59,0,GB,auto
AUTO-000007,32328.92,4335.8,0,KPK,auto
AUTO-000008,17418.06,4112.96,0,Punjab,auto
AUTO-000009,28890.84,15597.65,0,GB,auto
AUTO-000010,17470.89,16941.97,0,AJK,auto
AUTO-000011,17450.7,16012.55,0,AJK,auto
AUTO-000012,24859.15,2828.1,0,GB,auto
AUTO-000013,8462.16,5581.65,0,AJK,auto
AUTO-000014,9297.87,15652.58,0,Punjab,auto
AUTO-000015,16628.22,8376.9,0,Balochistan,auto
AUTO-000016,13274.29,3432.51,0,AJK,auto
AUTO-000017,25774.06,11691.93,0,AJK,auto
AUTO-000018,13988.46,4574.05,0,GB,auto
AUTO-000019,10870.94,34051.18,1,Sindh,auto
AUTO-000020,45835.97,27885.81,0,Sindh,auto
AUTO-000021,19675.15,13138.18,0,Balochistan,auto
AUTO-000022,22782.87,24072.02,0,GB,auto
AUTO-000023,10803.51,8534.17,0,KPK,auto
AUTO-000024,16777.75,14948.26,1,Punjab,auto
AUTO-000025,23282.59,26427.92,0,AJK,auto
AUTO-000026,12388.24,9861.55,0,GB,auto
AUTO-000027,26578.26,6606.77,0,GB,auto
AUTO-000028,16312.4,2072.07,0,Punjab,auto
AUTO-000029,19037.25,7581.7,0,Sindh,auto
AUTO-000030,16303.69,15658.02,0,Punjab,auto
AUTO-000031,55611.16,17266.21,0,Sindh,auto
AUTO-000032,21878.32,12130.67,0,Punjab,auto
AUTO-000033,12979.73,5255.13,0,Sindh,auto
AUTO-000034,33232.13,1666.6,0,Punjab,auto
AUTO-000035,11963.05,5452.49,0,AJK,auto
AUTO-000036,24451.13,6351.99,0,AJK,auto
AUTO-000037,8268.14,6308.52,0,Balochistan,auto
AUTO-000038,11337.91,13291.04,0,Punjab,auto
AUTO-000039,24304.84,39677.56,0,KPK,auto
AUTO-000040,31864.04,8944.76,0,Balochistan,auto
AUTO-000041,23997.0,6813.18,0,Punjab,auto
AUTO-000042,20788.93,6585.48,0,KPK,auto
AUTO-000043,18947.9,8950.89,0,AJK,auto
AUTO-000044,10516.9,4177.07,0,AJK,auto
AUTO-000045,15368.54,8920.96,0,GB,auto
AUTO-000046,17495.18,11621.94,0,AJK,auto
AUTO-000047,37367.67,9583.03,0,GB,auto
AUTO-000048,26155.35,11684.68,0,KPK,auto
AUTO-000049,9122.32,11464.36,0,Sindh,auto
AUTO-000050,25901.13,1963.5,0,Punjab,auto
AUTO-000051,18168.76,13487.2,0,Balochistan,auto
AUTO-000052,15701.93,4737.14,0,GB,auto
AUTO-000053,29906.71,3372.23,0,Balochistan,auto
AUTO-000054,36882.77,3349.07,0,AJK,auto
AUTO-000055,35088.9,11462.47,0,Sindh,auto
AUTO-000056,14478.08,6781.41,0,GB,auto
AUTO-000057,18871.23,2109.96,0,Punjab,auto
AUTO-000058,25994.28,11877.85,0,GB,auto
AUTO-000059,35874.16,2561.41,0,Punjab,auto
AUTO-000060,17333.79,9062.11,0,Balochistan,auto
AUTO-000061,20073.79,9806.48,0,Balochistan,auto
AUTO-000062,12667.98,16456.27,0,Balochistan,auto
AUTO-000063,12111.33,33703.19,0,Punjab,auto
AUTO-000064,33066.07,2719.65,0,GB,auto
AUTO-000065,43395.89,7769.96,0,Balochistan,auto
AUTO-000066,21247.51,6495.93,0,Punjab,auto
AUTO-000067,36379.71,11464.38,0,AJK,auto
AUTO-000068,26392.05,9629.0,0,GB,auto
AUTO-000069,15953.61,6111.72,0,GB,auto
AUTO-000070,26388.88,5694.63,1,GB,auto
AUTO-000071,47525.34,3317.08,0,Sindh,auto
AUTO-000072,21635.42,17859.47,0,Balochistan,auto
AUTO-000073,48161.82,11700.22,0,Punjab,auto
AUTO-000074,5943.94,16885.57,0,AJK,auto
AUTO-000075,33221.46,6321.32,1,KPK,auto
AUTO-000076,23006.3,4791.18,0,AJK,auto
AUTO-000077,18967.77,3419.84,0,Sindh,auto
AUTO-000078,23060.59,10798.19,0,AJK,auto
AUTO-000079,8153.61,3526.87,0,Balochistan,auto
AUTO-000080,19735.3,35558.36,0,Balochistan,auto
AUTO-000081,26332.42,2846.62,0,KPK,auto
AUTO-000082,46117.47,10086.25,0,GB,auto
AUTO-000083,16998.24,28381.24,0,Punjab,auto
AUTO-000084,14702.21,13085.65,0,AJK,auto
AUTO-000085,17139.17,9325.79,0,KPK,auto
AUTO-000086,34811.43,3733.92,0,Balochistan,auto
AUTO-000087,25961.65,2682.72,0,GB,auto
AUTO-000088,16900.86,15003.52,0,Punjab,auto
AUTO-000089,28470.78,27035.82,0,Punjab,auto
AUTO-000090,23121.98,5703.98,0,Sindh,auto
AUTO-000091,35750.61,3257.62,0,GB,auto
AUTO-000092,15505.86,1133.95,0,Balochistan,auto
AUTO-000093,18697.95,3697.41,0,Punjab,auto
AUTO-000094,18105.05,7398.81,0,Sindh,auto
AUTO-000095,10596.11,29123.44,0,Sindh,auto
AUTO-000096,25541.51,13884.2,0,Balochistan,auto
AUTO-000097,25097.6,10343.03,0,Punjab,auto
AUTO-000098,22082.85,5883.48,0,GB,auto
AUTO-000099,19588.67,5082.04,0,Punjab,auto
AUTO-000100,10854.28,24947.23,0,AJK,auto
AUTO-000101,17848.55,9514.68,0,Punjab,auto
AUTO-000102,18557.75,1507.07,0,Sindh,auto
AUTO-000103,14747.98,4727.58,0,KPK,auto
AUTO-000104,20319.92,4078.27,0,Balochistan,auto
AUTO-000105,26957.73,5234.3,0,KPK,auto
AUTO-000106,56562.02,12712.34,0,Punjab,auto
AUTO-000107,24035.54,7435.67,0,GB,auto
AUTO-000108,25053.66,7619.82,0,GB,auto
AUTO-000109,21221.65,23173.82,0,Sindh,auto
AUTO-000110,8438.96,4641.68,0,KPK,auto
AUTO-000111,21736.39,36003.07,0,Balochistan,auto
AUTO-000112,22699.88,4736.03,0,AJK,auto
AUTO-000113,75479.85,8702.44,0,KPK,auto
AUTO-000114,20006.64,6470.68,0,GB,auto
AUTO-000115,25610.91,8943.97,0,AJK,auto
AUTO-000116,21647.48,11564.25,0,GB,auto
AUTO-000117,12279.19,11465.16,0,Punjab,auto
AUTO-000118,39003.68,4435.99,0,Punjab,auto
AUTO-000119,32079.31,3299.97,0,Balochistan,auto
AUTO-000120,32712.61,60026.26,0,AJK,auto
AUTO-000121,13978.93,5501.7,0,AJK,auto
AUTO-000122,44417.87,14176.91,0,Balochistan,auto
AUTO-000123,10927.9,2239.23,0,GB,auto
AUTO-000124,29537.87,6478.92,0,KPK,auto
AUTO-000125,65856.13,7319.08,0,Balochistan,auto
AUTO-000126,13423.09,11828.32,0,Punjab,auto
AUTO-000127,16594.91,917.85,0,AJK,auto
AUTO-000128,23151.75,9254.94,1,Sindh,auto
AUTO-000129,17124.44,3229.9,0,GB,auto
AUTO-000130,10144.31,10503.63,0,Sindh,auto
AUTO-000131,22794.66,3536.65,0,Punjab,auto
AUTO-000132,12949.96,4087.19,0,AJK,auto
AUTO-000133,27911.56,6510.02,0,AJK,auto
AUTO-000134,13908.95,3491.67,0,Balochistan,auto
AUTO-000135,47808.91,5539.02,0,KPK,auto
AUTO-000136,14888.93,3119.1,0,Balochistan,auto
AUTO-000137,18750.38,1869.57,0,Sindh,auto
AUTO-000138,33082.46,18294.68,0,AJK,auto
AUTO-000139,11903.26,2873.14,0,KPK,auto
AUTO-000140,24679.54,7023.77,0,Balochistan,auto
AUTO-000141,42343.55,14798.97,0,KPK,auto
AUTO-000142,9860.17,4954.47,1,GB,auto
AUTO-000143,24156.7,4187.53,0,GB,auto
AUTO-000144,25082.89,9710.77,0,Sindh,auto
AUTO-000145,32562.33,19818.02,0,KPK,auto
AUTO-000146,11867.09,3179.72,0,GB,auto
AUTO-000147,11381.81,7185.94,0,AJK,auto
AUTO-000148,28594.53,2026.38,0,GB,auto
AUTO-000149,25552.55,5916.14,0,KPK,auto
AUTO-000150,24965.41,8327.88,0,KPK,auto
AUTO-000151,26192.39,4090.0,0,Balochistan,auto
AUTO-000152,15677.59,5621.8,0,KPK,auto
AUTO-000153,24738.77,2626.53,0,KPK,auto
AUTO-000154,25502.61,8618.47,0,Sindh,auto
AUTO-000155,15410.81,18855.41,0,KPK,auto
AUTO-000156,55987.7,3368.71,0,Balochistan,auto
AUTO-000157,27914.92,4923.93,0,Balochistan,auto
AUTO-000158,12141.06,12113.03,0,AJK,auto
AUTO-000159,30585.36,21368.49,0,GB,auto
AUTO-000160,13529.92,2453.94,0,Sindh,auto
AUTO-000161,32648.11,7079.6,0,Punjab,auto
AUTO-000162,39312.5,10162.96,0,AJK,auto
AUTO-000163,14612.88,7467.79,0,KPK,auto
AUTO-000164,35656.55,1117.18,0,GB,auto
AUTO-000165,27075.66,12098.93,0,Sindh,auto
AUTO-000166,33224.08,27322.59,0,AJK,auto
AUTO-000167,56862.79,8895.75,0,Balochistan,auto
AUTO-000168,19483.16,3551.46,0,Sindh,auto
AUTO-000169,15110.3,5374.92,0,Sindh,auto
AUTO-000170,14118.52,33387.29,0,KPK,auto
AUTO-000171,14648.52,16780.45,0,Sindh,auto
AUTO-000172,21193.49,13521.3,0,GB,auto
AUTO-000173,26123.12,10776.57,0,GB,auto
AUTO-000174,25294.58,4774.72,0,Sindh,auto
AUTO-000175,33309.29,6901.84,0,Punjab,auto
AUTO-000176,22170.13,7613.37,0,KPK,auto
AUTO-000177,45559.16,12577.43,0,Sindh,auto
AUTO-000178,19296.36,27095.83,0,Sindh,auto
AUTO-000179,85826.63,19824.43,0,Punjab,auto
AUTO-000180,30116.66,2603.19,0,Punjab,auto
AUTO-000181,14348.79,9693.36,0,Balochistan,auto
AUTO-000182,12894.47,14609.26,0,KPK,auto
AUTO-000183,28035.76,13294.27,0,Punjab,auto
AUTO-000184,19697.93,4898.15,0,Sindh,auto
AUTO-000185,31476.62,83390.31,0,Punjab,auto
AUTO-000186,27906.61,2917.06,0,AJK,auto
AUTO-000187,21238.81,3406.53,0,Balochistan,auto
AUTO-000188,14423.34,9768.09,0,Balochistan,auto
AUTO-000189,10327.61,44065.94,0,GB,auto
AUTO-000190,17619.17,4150.75,0,KPK,auto
AUTO-000191,33799.44,6550.77,0,Balochistan,auto
AUTO-000192,24515.16,19184.06,0,KPK,auto
AUTO-000193,11815.06,7988.12,0,AJK,auto
AUTO-000194,24018.76,6200.08,0,GB,auto
AUTO-000195,26706.4,12740.06,0,Sindh,auto
AUTO-000196,14158.51,10077.04,0,AJK,auto
AUTO-000197,23786.24,18478.28,0,KPK,auto
AUTO-000198,22676.95,22769.45,0,KPK,auto
AUTO-000199,12438.04,10358.91,0,KPK,auto
AUTO-000200,26341.31,10233.13,0,Sindh,auto
