policy_id,premium,claim_amount,fraud_flag,region,insurance_type
sdv-id-SEgbSE,18327.56,491.7155690530684,0,KPK,auto
sdv-id-UIvAxk,17097.6,160.9726236284937,0,GB,auto
sdv-id-AXmXVf,9369.43,729.5996046770985,0,Sindh,auto
sdv-id-bwhwAP,19866.06,271.8061532753392,0,AJK,auto
sdv-id-sNzsZV,16590.72,226.54870012782368,1,AJK,auto
sdv-id-sXFaXC,36938.8,245.84974039144973,0,GB,auto
sdv-id-EfziAR,8559.15,75.4827161464225,0,GB,auto
sdv-id-GOIDZZ,53060.11,406.8599990805173,0,Sindh,auto
sdv-id-ANRzdu,37121.82,445.60773591090646,0,Balochistan,auto
sdv-id-YnVkTr,25790.04,748.3924279777077,0,KPK,auto
sdv-id-elIGJs,15585.47,17.32333219499555,0,Sindh,auto
sdv-id-ZlQuHP,4738.28,116.37019290928693,0,Punjab,auto
sdv-id-vYuAYE,11352.7,682.6528831618392,0,Sindh,auto
sdv-id-xerQaL,9604.93,267.747025253596,0,Balochistan,auto
sdv-id-UNDGdF,16148.05,414.89465357723265,0,AJK,auto
sdv-id-SOuQhb,26444.38,750.6585757472251,0,GB,auto
sdv-id-JeHyOo,20604.83,158.339318550477,0,Punjab,auto
sdv-id-KWBXzN,21572.84,48.5170515999678,0,Sindh,auto
sdv-id-MkSgSu,45479.46,289.25732976007043,0,AJK,auto
sdv-id-eFZWQr,25754.38,79.32924916950407,0,Punjab,auto
sdv-id-qrBkaP,14039.32,150.15814587900834,0,GB,auto
sdv-id-XtkHEl,23227.63,90.72376651668915,0,Punjab,auto
sdv-id-ffDVJn,31623.22,81.1173454825715,0,AJK,auto
sdv-id-KvDsZC,19265.88,758.8486544253943,0,GB,auto
sdv-id-nmMACi,16246.59,1022.4270939619904,0,GB,auto
sdv-id-gNIihw,42958.69,787.9184348775216,0,Punjab,auto
sdv-id-EJbMYL,19824.36,511.24787820037363,0,KPK,auto
sdv-id-pfTKLf,18409.45,185.72931122263873,0,Punjab,auto
sdv-id-tfMmrb,34835.84,328.1346346234277,0,Sindh,auto
sdv-id-uoAiQu,3414.76,146.53569947613767,0,Punjab,auto
sdv-id-UjXZjB,18973.64,180.4147235466371,0,GB,auto
sdv-id-tRIPPt,54736.25,721.1354508249788,0,Balochistan,auto
sdv-id-NyWliy,20667.67,48.04503324483127,0,GB,auto
