policy_id,premium,claim_amount,fraud_flag,region,insurance_type
sdv-id-SEgbSE,16048.6,11712.07,0,AJK,auto
sdv-id-UIvAxk,21561.82,25221.49,0,AJK,auto
sdv-id-AXmXVf,27706.72,3277.72,0,AJK,auto
sdv-id-bwhwAP,10207.03,17621.23,0,GB,auto
sdv-id-sNzsZV,16997.83,25480.17,0,AJK,auto
sdv-id-sXFaXC,28816.69,15686.5,0,GB,auto
sdv-id-EfziAR,19363.03,18543.85,0,AJK,auto
sdv-id-GOIDZZ,23597.04,3823.98,0,AJK,auto
sdv-id-ANRzdu,29221.32,2550.61,0,GB,auto
sdv-id-YnVkTr,13397.48,14684.51,0,AJK,auto
sdv-id-elIGJs,29119.17,7441.39,0,Balochistan,auto
sdv-id-ZlQuHP,7342.63,10622.33,0,AJK,auto
sdv-id-vYuAYE,18933.78,11245.6,0,GB,auto
sdv-id-xerQaL,16475.41,20293.94,0,Punjab,auto
sdv-id-UNDGdF,35989.78,27067.46,0,GB,auto
sdv-id-SOuQhb,10771.61,15639.21,0,AJK,auto
sdv-id-JeHyOo,15530.02,4240.53,0,AJK,auto
sdv-id-KWBXzN,11438.35,3455.43,0,AJK,auto
sdv-id-MkSgSu,27417.37,19570.04,0,Balochistan,auto
sdv-id-eFZWQr,10840.19,12374.13,0,AJK,auto
sdv-id-qrBkaP,28692.96,10854.36,0,AJK,auto
sdv-id-XtkHEl,29943.31,7028.36,0,KPK,auto
sdv-id-ffDVJn,11284.69,12346.11,0,Balochistan,auto
sdv-id-KvDsZC,20499.13,32136.74,0,GB,auto
sdv-id-nmMACi,11963.47,7160.27,0,KPK,auto
sdv-id-gNIihw,17594.85,12535.1,0,KPK,auto
sdv-id-EJbMYL,15646.82,7409.26,0,KPK,auto
sdv-id-pfTKLf,6802.65,8613.3,0,KPK,auto
sdv-id-tfMmrb,25608.99,21462.67,0,AJK,auto
sdv-id-uoAiQu,24958.5,16165.67,0,AJK,auto
sdv-id-UjXZjB,13712.12,12508.74,0,AJK,auto
sdv-id-tRIPPt,34919.25,18027.89,0,GB,auto
sdv-id-NyWliy,29225.72,31022.34,0,KPK,auto
sdv-id-kdGbOt,25538.91,14862.39,0,AJK,auto
sdv-id-mtPgVk,24661.03,27819.95,0,AJK,auto
sdv-id-bNTOug,16132.06,4633.41,0,GB,auto
sdv-id-vVaalp,22149.83,17220.73,0,AJK,auto
sdv-id-jCLosh,17483.26,12564.99,0,Sindh,auto
sdv-id-oqmAxq,11616.63,6377.61,0,KPK,auto
sdv-id-DPVSJp,24789.85,22452.8,0,AJK,auto
sdv-id-QaYJgP,13394.55,18203.44,0,AJK,auto
sdv-id-nTrbHj,41926.5,9202.71,0,Punjab,auto
sdv-id-qytcUr,15476.81,3388.54,0,GB,auto
sdv-id-PqioYD,16209.16,7303.45,0,AJK,auto
sdv-id-DMJTOr,20586.91,17142.19,0,GB,auto
sdv-id-KyumTQ,9008.78,7617.57,0,KPK,auto
sdv-id-BjEuuO,23462.56,26086.95,0,AJK,auto
sdv-id-QElICa,14312.95,18351.71,0,AJK,auto
sdv-id-cfPrPt,21340.71,5138.44,0,Sindh,auto
sdv-id-ukNjSt,27351.81,13953.07,0,GB,auto
sdv-id-VZUlwJ,29826.69,12336.57,0,GB,auto
sdv-id-tvwuoh,17788.28,4716.64,0,GB,auto
sdv-id-VEsJLC,22767.86,12742.87,0,GB,auto
sdv-id-QWhrrH,12012.07,13434.03,0,AJK,auto
sdv-id-SDfOOM,32877.45,10138.57,0,GB,auto
sdv-id-mNfgPh,15749.01,33641.05,0,AJK,auto
sdv-id-Yxfcnb,28621.99,9190.28,0,KPK,auto
sdv-id-KUiKHb,29477.85,5757.99,0,Balochistan,auto
sdv-id-nsRjPN,12724.41,8418.3,0,KPK,auto
sdv-id-vjmhxO,17655.61,7981.94,0,GB,auto
sdv-id-eSvQOL,14071.15,28690.96,0,GB,auto
sdv-id-GgZMpa,13593.9,7437.82,0,AJK,auto
sdv-id-maVDPU,14867.28,5027.66,0,Sindh,auto
sdv-id-CqfJKL,12870.46,14534.95,0,AJK,auto
sdv-id-LVWdVB,34178.05,4228.82,0,GB,auto
sdv-id-uIDrPm,10704.69,7965.96,0,KPK,auto
sdv-id-vGQrKl,17620.27,2104.66,0,GB,auto
